mapping_id,project_id,product_id,allocation_percentage
MAP-0001,PRJ-001,PRD-001,60.00
MAP-0002,PRJ-001,PRD-002,30.00
MAP-0003,PRJ-002,PRD-001,100.00
MAP-0004,PRJ-003,PRD-002,100.00
MAP-0005,PRJ-004,PRD-003,70.00
MAP-0006,PRJ-004,PRD-004,30.00
MAP-0007,PRJ-005,PRD-003,100.00
MAP-0008,PRJ-006,PRD-004,85.00
MAP-0009,PRJ-007,PRD-005,100.00
MAP-0010,PRJ-008,PRD-001,40.00
MAP-0011,PRJ-008,PRD-006,60.00
MAP-0012,PRJ-009,PRD-006,100.00
MAP-0013,PRJ-010,PRD-007,70.00
MAP-0014,PRJ-010,PRD-008,30.00
MAP-0015,PRJ-011,PRD-007,100.00
MAP-0016,PRJ-012,PRD-008,100.00
MAP-0017,PRJ-013,PRD-009,50.00
MAP-0018,PRJ-013,PRD-010,50.00
MAP-0019,PRJ-014,PRD-005,50.00
MAP-0020,PRJ-014,PRD-009,50.00
MAP-0021,PRJ-015,PRD-003,40.00
MAP-0022,PRJ-015,PRD-006,40.00
MAP-0023,PRJ-016,PRD-004,50.00
MAP-0024,PRJ-016,PRD-007,50.00
MAP-0025,PRJ-017,PRD-008,60.00
MAP-0026,PRJ-017,PRD-010,30.00
MAP-0027,PRJ-018,PRD-005,100.00
MAP-0028,PRJ-019,PRD-009,100.00
MAP-0029,PRJ-020,PRD-010,80.00
MAP-0030,PRJ-021,PRD-002,70.00
MAP-0031,PRJ-022,PRD-006,50.00
MAP-0032,PRJ-022,PRD-008,50.00
MAP-0033,PRJ-023,PRD-007,40.00
MAP-0034,PRJ-023,PRD-009,60.00
MAP-0035,PRJ-024,PRD-004,45.00
MAP-0036,PRJ-024,PRD-005,45.00
