project_id,project_name,project_owner,engineering_lead,product_owner,engineering_team,category,status,planned_start_date,planned_completion_date,actual_start_date,actual_completion_date
PRJ-001,Unified Customer Profile,Avery Vale,Riley Forge,Eden Moss,Atlas,Customer Experience,Complete,2023-08-07,2023-12-15,2023-08-05,2023-12-07
PRJ-002,Ledger Reconciliation Automation,Morgan Reed,Casey Brook,Kai River,Beacon,Payments,Complete,2023-09-11,2024-01-26,2023-09-10,2024-01-26
PRJ-003,Real-time Fraud Signals,Samira North,Amina Quill,Maya Flint,Echo,Risk & Compliance,Complete,2023-10-02,2024-02-16,2023-10-05,2024-02-27
PRJ-004,Analytics Workspace Foundation,Theo Lake,Luca Pine,Jonah Field,Cirrus,Data & Analytics,Complete,2023-11-06,2024-03-22,2023-11-06,2024-03-11
PRJ-005,Partner API Gateway,Noah Ember,Nia Summit,Zara Coast,Delta,Platform,Complete,2024-01-08,2024-05-17,2024-01-10,2024-05-30
PRJ-006,Adaptive Checkout Rules,Imani Frost,Riley Forge,Eden Moss,Beacon,Payments,Complete,2024-02-05,2024-06-28,2024-02-07,2024-06-28
PRJ-007,Merchant Risk Console,Avery Vale,Casey Brook,Kai River,Echo,Risk & Compliance,Complete,2024-03-04,2024-07-19,2024-03-03,2024-08-03
PRJ-008,Usage Event Pipeline,Morgan Reed,Amina Quill,Maya Flint,Cirrus,Data & Analytics,Complete,2024-04-08,2024-08-23,2024-04-13,2024-08-14
PRJ-009,Self-service Account Controls,Samira North,Luca Pine,Jonah Field,Atlas,Customer Experience,Complete,2024-05-06,2024-09-27,2024-05-09,2024-09-27
PRJ-010,Regional Payment Routing,Theo Lake,Nia Summit,Zara Coast,Beacon,Payments,Complete,2024-06-03,2024-10-25,2024-06-02,2024-11-12
PRJ-011,Product Insights Models,Noah Ember,Riley Forge,Eden Moss,Cirrus,Data & Analytics,Complete,2024-07-08,2024-11-29,2024-07-11,2024-11-17
PRJ-012,Identity Assurance Upgrade,Imani Frost,Casey Brook,Kai River,Echo,Risk & Compliance,Complete,2024-08-05,2024-12-20,2024-08-07,2025-01-09
PRJ-013,Assisted Support Pilot,Avery Vale,Amina Quill,Maya Flint,Atlas,Customer Experience,Complete,2024-09-09,2025-01-31,2024-09-07,2025-01-31
PRJ-014,Settlement Visibility,Morgan Reed,Luca Pine,Jonah Field,Beacon,Payments,Complete,2024-10-07,2025-02-28,2024-10-08,2025-03-09
PRJ-015,Cloud Cost Observability,Samira North,Nia Summit,Zara Coast,Delta,Platform,Complete,2024-11-04,2025-03-28,2024-11-03,2025-03-18
PRJ-016,Feature Entitlement Service,Theo Lake,Riley Forge,Eden Moss,Delta,Platform,Complete,2024-12-02,2025-05-02,2024-12-06,2025-05-13
PRJ-017,Dispute Workflow Refresh,Noah Ember,Casey Brook,Kai River,Atlas,Customer Experience,In Progress,2025-02-03,2025-09-26,2025-02-06,
PRJ-018,Continuous Control Testing,Imani Frost,Amina Quill,Maya Flint,Echo,Risk & Compliance,Testing,2025-03-03,2025-10-31,2025-03-02,
PRJ-019,Embedded Reporting SDK,Avery Vale,Luca Pine,Jonah Field,Cirrus,Data & Analytics,In Progress,2025-06-02,2026-02-27,2025-06-06,
PRJ-020,Next-gen Vault Discovery,Morgan Reed,Nia Summit,Zara Coast,Delta,Platform,Planning,2025-12-15,2026-05-29,,
PRJ-021,Legacy Notification Migration,Samira North,Riley Forge,Eden Moss,Atlas,Internal Operations,Cancelled,2025-01-13,2025-07-25,2025-01-15,
PRJ-022,Merchant Segmentation Engine,Theo Lake,Casey Brook,Kai River,Cirrus,Data & Analytics,In Progress,2025-04-07,2025-11-28,2025-04-05,
PRJ-023,Tokenized Checkout Rollout,Noah Ember,Amina Quill,Maya Flint,Beacon,Payments,Testing,2025-07-07,2026-01-30,2025-07-05,
PRJ-024,Policy Decision Audit Trail,Imani Frost,Luca Pine,Jonah Field,Echo,Risk & Compliance,Complete,2025-01-06,2025-08-29,2025-01-11,2025-09-17
