metric_id,product_id,month,active_customers,eligible_customers,transaction_count,transaction_value,revenue,operating_cost,currency
MET-0001,PRD-001,2024-01-01,318,6150,1844,2013532.39,48506.92,34387.60,USD
MET-0002,PRD-001,2024-02-01,466,6261,2742,2148867.41,51442.18,35481.20,USD
MET-0003,PRD-001,2024-03-01,620,6371,3727,2297716.72,54396.63,36594.00,USD
MET-0004,PRD-001,2024-04-01,769,6482,4412,2376966.52,57335.08,37690.80,USD
MET-0005,PRD-001,2024-05-01,908,6593,5273,2484031.56,60241.53,38755.60,USD
MET-0006,PRD-001,2024-06-01,1088,6704,6235,2643497.04,63279.18,39951.60,USD
MET-0007,PRD-001,2024-07-01,1241,6814,7281,2707773.93,66230.43,41061.20,USD
MET-0008,PRD-001,2024-08-01,1397,6925,8202,2892960.38,69191.28,42180.40,USD
MET-0009,PRD-001,2024-09-01,1540,7036,8833,2957465.39,72110.53,43258.00,USD
MET-0010,PRD-001,2024-10-01,1649,7146,9871,3051801.49,74920.98,44226.80,USD
MET-0011,PRD-001,2024-11-01,1801,7257,10709,3275194.83,77869.03,45333.20,USD
MET-0012,PRD-001,2024-12-01,1949,7368,11673,3384174.43,80804.29,46426.80,USD
MET-0013,PRD-001,2025-01-01,2131,7478,12824,3478841.53,83848.34,47629.20,USD
MET-0014,PRD-001,2025-02-01,2238,7589,13247,3642987.53,86652.39,48591.60,USD
MET-0015,PRD-001,2025-03-01,2488,7700,15025,3698745.83,89914.04,50011.60,USD
MET-0016,PRD-001,2025-04-01,2677,7810,15771,3884447.77,92980.49,51236.40,USD
MET-0017,PRD-001,2025-05-01,2765,7921,16185,3954918.61,95723.74,52138.00,USD
MET-0018,PRD-001,2025-06-01,2943,8032,17771,4036661.60,98754.99,53327.60,USD
MET-0019,PRD-001,2025-07-01,3043,8143,17508,4160550.79,101536.64,54267.60,USD
MET-0020,PRD-001,2025-08-01,3268,8253,19020,4299816.14,104718.29,55607.60,USD
MET-0021,PRD-001,2025-09-01,3530,8364,20623,4474472.66,108018.35,57066.00,USD
MET-0022,PRD-001,2025-10-01,3570,8475,20498,4638455.75,110608.00,57814.00,USD
MET-0023,PRD-001,2025-11-01,3758,8585,22361,4743966.75,113671.25,59035.60,USD
MET-0024,PRD-001,2025-12-01,3989,8696,22845,4874955.04,116872.10,60394.80,USD
MET-0025,PRD-002,2024-02-01,397,7800,2681,2162062.55,48764.62,37390.40,USD
MET-0026,PRD-002,2024-03-01,631,7940,4248,2328347.20,51684.45,38759.20,USD
MET-0027,PRD-002,2024-04-01,818,8081,5450,2445892.92,54453.88,39977.60,USD
MET-0028,PRD-002,2024-05-01,1031,8221,7147,2528731.77,57306.51,41279.20,USD
MET-0029,PRD-002,2024-06-01,1218,8362,8170,2704926.64,60075.94,42497.60,USD
MET-0030,PRD-002,2024-07-01,1429,8502,9573,2863207.58,62922.17,43792.80,USD
