cost_item_id,project_id,cost_category,description,estimated_cost,actual_cost,currency
PCI-0001,PRJ-001,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",22739.72,18467.77,USD
PCI-0002,PRJ-001,External Engineering/Integration,External integration and specialist services,11607.93,8945.36,USD
PCI-0003,PRJ-002,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",25445.07,27326.16,USD
PCI-0004,PRJ-002,External Engineering/Integration,External integration and specialist services,29339.74,30197.63,USD
PCI-0005,PRJ-003,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",34059.60,43581.78,USD
PCI-0006,PRJ-003,External Engineering/Integration,External integration and specialist services,21996.13,27375.26,USD
PCI-0007,PRJ-004,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",28379.75,25754.85,USD
PCI-0008,PRJ-004,External Engineering/Integration,External integration and specialist services,11383.54,9694.08,USD
PCI-0009,PRJ-005,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",34012.03,40425.60,USD
PCI-0010,PRJ-005,External Engineering/Integration,External integration and specialist services,17463.77,20760.83,USD
PCI-0011,PRJ-006,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",34399.38,36568.40,USD
PCI-0012,PRJ-006,External Engineering/Integration,External integration and specialist services,7772.12,7666.27,USD
PCI-0013,PRJ-007,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",25669.32,29712.76,USD
PCI-0014,PRJ-007,External Engineering/Integration,External integration and specialist services,30806.75,34950.65,USD
PCI-0015,PRJ-008,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",21358.99,16742.69,USD
PCI-0016,PRJ-008,External Engineering/Integration,External integration and specialist services,14347.97,10941.16,USD
PCI-0017,PRJ-009,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",28771.11,25985.07,USD
PCI-0018,PRJ-009,External Engineering/Integration,External integration and specialist services,18592.77,16563.51,USD
PCI-0019,PRJ-010,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",17236.41,21541.39,USD
PCI-0020,PRJ-010,External Engineering/Integration,External integration and specialist services,31408.31,41012.34,USD
PCI-0021,PRJ-011,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",37549.68,35937.38,USD
PCI-0022,PRJ-011,External Engineering/Integration,External integration and specialist services,17448.65,16807.09,USD
PCI-0023,PRJ-012,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",40922.31,48955.66,USD
PCI-0024,PRJ-012,External Engineering/Integration,External integration and specialist services,9356.61,11340.63,USD
PCI-0025,PRJ-013,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",40897.11,35508.07,USD
PCI-0026,PRJ-013,External Engineering/Integration,External integration and specialist services,7943.09,7023.34,USD
PCI-0027,PRJ-014,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",35269.97,48104.57,USD
PCI-0028,PRJ-014,External Engineering/Integration,External integration and specialist services,12018.99,16142.83,USD
PCI-0029,PRJ-015,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",24931.82,21786.56,USD
PCI-0030,PRJ-015,External Engineering/Integration,External integration and specialist services,11824.86,10714.39,USD
PCI-0031,PRJ-016,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",41453.17,41837.55,USD
PCI-0032,PRJ-016,External Engineering/Integration,External integration and specialist services,16602.47,17623.61,USD
PCI-0033,PRJ-017,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",14676.28,11764.43,USD
PCI-0034,PRJ-017,External Engineering/Integration,External integration and specialist services,15677.47,12233.52,USD
PCI-0035,PRJ-018,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",23642.09,19932.25,USD
PCI-0036,PRJ-018,External Engineering/Integration,External integration and specialist services,20295.70,15707.19,USD
PCI-0037,PRJ-019,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",20179.78,15281.24,USD
PCI-0038,PRJ-019,External Engineering/Integration,External integration and specialist services,19024.14,15445.01,USD
PCI-0039,PRJ-020,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",28586.25,0.00,USD
PCI-0040,PRJ-020,External Engineering/Integration,External integration and specialist services,15706.91,0.00,USD
PCI-0041,PRJ-021,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",32264.65,9371.32,USD
PCI-0042,PRJ-021,External Engineering/Integration,External integration and specialist services,24873.04,7076.01,USD
PCI-0043,PRJ-022,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",14187.21,10143.67,USD
PCI-0044,PRJ-022,External Engineering/Integration,External integration and specialist services,18835.25,12400.68,USD
PCI-0045,PRJ-023,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",21755.38,16335.93,USD
PCI-0046,PRJ-023,External Engineering/Integration,External integration and specialist services,12612.14,9524.03,USD
PCI-0047,PRJ-024,Engineering Infrastructure,"CI/CD, tooling, and non-production environments",18187.68,20236.53,USD
PCI-0048,PRJ-024,External Engineering/Integration,External integration and specialist services,26952.13,33319.41,USD
