allocation_id,project_id,role,estimated_person_days,actual_person_days,fictional_daily_rate,currency
RAL-0001,PRJ-001,Backend Engineer,82.80,73.10,900.00,USD
RAL-0002,PRJ-001,QA Engineer,28.00,25.30,700.00,USD
RAL-0003,PRJ-001,DevOps Engineer,23.60,20.70,950.00,USD
RAL-0004,PRJ-001,Technical Lead,23.30,21.50,1150.00,USD
RAL-0005,PRJ-001,Engineering Lead,15.50,13.40,1300.00,USD
RAL-0006,PRJ-001,Solution Architect,14.50,12.40,1400.00,USD
RAL-0007,PRJ-001,Frontend Engineer,71.60,66.20,850.00,USD
RAL-0008,PRJ-001,Product Designer,24.30,22.40,750.00,USD
RAL-0009,PRJ-002,Backend Engineer,85.60,85.50,900.00,USD
RAL-0010,PRJ-002,QA Engineer,56.70,54.90,700.00,USD
RAL-0011,PRJ-002,DevOps Engineer,17.60,17.10,950.00,USD
RAL-0012,PRJ-002,Technical Lead,13.40,13.50,1150.00,USD
RAL-0013,PRJ-002,Engineering Lead,10.40,10.70,1300.00,USD
RAL-0014,PRJ-002,Solution Architect,15.40,15.90,1400.00,USD
RAL-0015,PRJ-002,Frontend Engineer,67.50,68.30,850.00,USD
RAL-0016,PRJ-002,Product Designer,31.00,29.90,750.00,USD
RAL-0017,PRJ-002,Security Engineer,20.00,19.30,1100.00,USD
RAL-0018,PRJ-003,Backend Engineer,59.50,71.00,900.00,USD
RAL-0019,PRJ-003,QA Engineer,41.90,47.10,700.00,USD
RAL-0020,PRJ-003,DevOps Engineer,17.60,20.60,950.00,USD
RAL-0021,PRJ-003,Technical Lead,13.50,15.70,1150.00,USD
RAL-0022,PRJ-003,Engineering Lead,21.60,24.20,1300.00,USD
RAL-0023,PRJ-003,Solution Architect,12.80,14.60,1400.00,USD
RAL-0024,PRJ-003,Security Engineer,18.50,21.10,1100.00,USD
RAL-0025,PRJ-004,Backend Engineer,78.40,61.20,900.00,USD
RAL-0026,PRJ-004,QA Engineer,32.20,26.80,700.00,USD
RAL-0027,PRJ-004,DevOps Engineer,35.70,28.50,950.00,USD
RAL-0028,PRJ-004,Technical Lead,16.80,13.40,1150.00,USD
RAL-0029,PRJ-004,Engineering Lead,20.40,16.90,1300.00,USD
RAL-0030,PRJ-004,Solution Architect,16.20,13.20,1400.00,USD
RAL-0031,PRJ-004,Data Engineer,60.00,48.70,975.00,USD
RAL-0032,PRJ-005,Backend Engineer,44.30,51.60,900.00,USD
RAL-0033,PRJ-005,QA Engineer,46.00,53.80,700.00,USD
RAL-0034,PRJ-005,DevOps Engineer,28.40,33.70,950.00,USD
RAL-0035,PRJ-005,Technical Lead,23.10,26.90,1150.00,USD
RAL-0036,PRJ-005,Engineering Lead,22.80,27.40,1300.00,USD
