text,category_truth
"My tomato plants have uniformly pale older leaves, starting at the tips, and new growth is much slower than normal.",Nutrient Adjustment Needed
The oldest leaves on my tomato show yellow tissue between green veins even though the soil is evenly moist.,Nutrient Adjustment Needed
My tomato is stunted and the lower leaves are developing a dull purple tint; I have not fertilized this bed this season.,Nutrient Adjustment Needed
"Leaf edges on my tomato are yellowing and turning brown while the centers stay green, and the stems seem weak.",Nutrient Adjustment Needed
"My pepper plants have uniformly pale older leaves, starting at the tips, and new growth is much slower than normal.",Nutrient Adjustment Needed
The oldest leaves on my pepper show yellow tissue between green veins even though the soil is evenly moist.,Nutrient Adjustment Needed
My pepper is stunted and the lower leaves are developing a dull purple tint; I have not fertilized this bed this season.,Nutrient Adjustment Needed
"Leaf edges on my pepper are yellowing and turning brown while the centers stay green, and the stems seem weak.",Nutrient Adjustment Needed
"My cucumber plants have uniformly pale older leaves, starting at the tips, and new growth is much slower than normal.",Nutrient Adjustment Needed
The oldest leaves on my cucumber show yellow tissue between green veins even though the soil is evenly moist.,Nutrient Adjustment Needed
My cucumber is stunted and the lower leaves are developing a dull purple tint; I have not fertilized this bed this season.,Nutrient Adjustment Needed
"Leaf edges on my cucumber are yellowing and turning brown while the centers stay green, and the stems seem weak.",Nutrient Adjustment Needed
"My zucchini plants have uniformly pale older leaves, starting at the tips, and new growth is much slower than normal.",Nutrient Adjustment Needed
The oldest leaves on my zucchini show yellow tissue between green veins even though the soil is evenly moist.,Nutrient Adjustment Needed
My zucchini is stunted and the lower leaves are developing a dull purple tint; I have not fertilized this bed this season.,Nutrient Adjustment Needed
"Leaf edges on my zucchini are yellowing and turning brown while the centers stay green, and the stems seem weak.",Nutrient Adjustment Needed
"My kale plants have uniformly pale older leaves, starting at the tips, and new growth is much slower than normal.",Nutrient Adjustment Needed
The oldest leaves on my kale show yellow tissue between green veins even though the soil is evenly moist.,Nutrient Adjustment Needed
My kale is stunted and the lower leaves are developing a dull purple tint; I have not fertilized this bed this season.,Nutrient Adjustment Needed
"Leaf edges on my kale are yellowing and turning brown while the centers stay green, and the stems seem weak.",Nutrient Adjustment Needed
"My spinach plants have uniformly pale older leaves, starting at the tips, and new growth is much slower than normal.",Nutrient Adjustment Needed
The oldest leaves on my spinach show yellow tissue between green veins even though the soil is evenly moist.,Nutrient Adjustment Needed
My spinach is stunted and the lower leaves are developing a dull purple tint; I have not fertilized this bed this season.,Nutrient Adjustment Needed
"Leaf edges on my spinach are yellowing and turning brown while the centers stay green, and the stems seem weak.",Nutrient Adjustment Needed
"My lettuce plants have uniformly pale older leaves, starting at the tips, and new growth is much slower than normal.",Nutrient Adjustment Needed
The oldest leaves on my lettuce show yellow tissue between green veins even though the soil is evenly moist.,Nutrient Adjustment Needed
My lettuce is stunted and the lower leaves are developing a dull purple tint; I have not fertilized this bed this season.,Nutrient Adjustment Needed
"Leaf edges on my lettuce are yellowing and turning brown while the centers stay green, and the stems seem weak.",Nutrient Adjustment Needed
"My bean plants have uniformly pale older leaves, starting at the tips, and new growth is much slower than normal.",Nutrient Adjustment Needed
