investment_item_id,product_id,investment_type,description,amount,incurred_date,currency
INV-0001,PRD-001,Additional Launch Cost,"Launch enablement, training, and communications",28011.56,2023-12-01,USD
INV-0002,PRD-001,Third-party Setup Cost,Fictional vendor setup and certification,29626.57,2023-12-26,USD
INV-0003,PRD-002,Additional Launch Cost,"Launch enablement, training, and communications",55925.29,2023-12-29,USD
INV-0004,PRD-002,Third-party Setup Cost,Fictional vendor setup and certification,23090.85,2024-01-23,USD
INV-0005,PRD-003,Additional Launch Cost,"Launch enablement, training, and communications",63618.03,2024-02-23,USD
INV-0006,PRD-003,Third-party Setup Cost,Fictional vendor setup and certification,53766.83,2024-03-19,USD
INV-0007,PRD-004,Additional Launch Cost,"Launch enablement, training, and communications",54802.89,2024-05-03,USD
INV-0008,PRD-004,Third-party Setup Cost,Fictional vendor setup and certification,51326.85,2024-05-28,USD
INV-0009,PRD-005,Additional Launch Cost,"Launch enablement, training, and communications",36964.97,2024-06-28,USD
INV-0010,PRD-005,Third-party Setup Cost,Fictional vendor setup and certification,36075.86,2024-07-23,USD
INV-0011,PRD-006,Additional Launch Cost,"Launch enablement, training, and communications",61687.93,2024-11-29,USD
INV-0012,PRD-006,Third-party Setup Cost,Fictional vendor setup and certification,42996.89,2024-12-24,USD
INV-0013,PRD-007,Additional Launch Cost,"Launch enablement, training, and communications",51520.06,2025-01-17,USD
INV-0014,PRD-007,Third-party Setup Cost,Fictional vendor setup and certification,35564.85,2025-02-11,USD
INV-0015,PRD-008,Additional Launch Cost,"Launch enablement, training, and communications",51682.17,2025-04-25,USD
INV-0016,PRD-008,Third-party Setup Cost,Fictional vendor setup and certification,22666.03,2025-05-20,USD
INV-0017,PRD-009,Additional Launch Cost,"Launch enablement, training, and communications",28158.11,2025-09-21,USD
INV-0018,PRD-009,Third-party Setup Cost,Fictional vendor setup and certification,22741.78,2025-10-16,USD
INV-0019,PRD-010,Additional Launch Cost,"Launch enablement, training, and communications",38403.36,2025-10-26,USD
INV-0020,PRD-010,Third-party Setup Cost,Fictional vendor setup and certification,55491.03,2025-11-20,USD
